,Country/Region,3/27/22
9,Australia,74017
10,Australia,1749000
11,Australia,48505
12,Australia,737136
13,Australia,239948
14,Australia,82026
15,Australia,1249138
16,Australia,146411
40,Canada,536166
41,Canada,355092
43,Canada,13
44,Canada,134907
45,Canada,45101
46,Canada,35293
47,Canada,10333
48,Canada,54812
49,Canada,3400
50,Canada,1162613
51,Canada,23345
52,Canada,957595
54,Canada,131028
55,Canada,3721
59,China,1031
60,China,1759
61,China,688
62,China,2746
63,China,681
64,China,6546
65,China,1447
66,China,172
67,China,193
68,China,1935
69,China,2363
70,China,2785
71,China,1128507
72,China,68391
73,China,1316
74,China,1681
75,China,2002
76,China,1033
77,China,25518
78,China,1556
79,China,82
80,China,122
81,China,32
82,China,3218
83,China,2556
84,China,5295
85,China,303
86,China,1660
87,China,1773
88,China,1
90,China,996
91,China,2058
92,China,2658
103,Denmark,34658
104,Denmark,11971
120,France,78679
121,France,71868
122,France,132359
123,France,142024
124,France,36839
125,France,60268
126,France,327189
127,France,3805
128,France,1930
129,France,9939
130,France,454
194,Netherlands,33929
195,Netherlands,8150
196,Netherlands,40217
197,Netherlands,9682
199,New Zealand,1395
260,United Kingdom,2633
261,United Kingdom,12354
262,United Kingdom,6141
263,United Kingdom,20606
265,United Kingdom,119
266,United Kingdom,16660
267,United Kingdom,20785
268,United Kingdom,27566
269,United Kingdom,44859
270,United Kingdom,175
271,United Kingdom,4
272,United Kingdom,5888
